A company has a 3-year floating rate loan of £10 million indexed to LIBOR. It enters into an interest rate swap to effectively convert this to a fixed rate loan. If the fixed rate in the swap is 4% and the notional value is £10 million what is the annual fixed payment the company will make?,£400000,£300000,£500000,£450000,£400000,Derivatives
Using the Interest Parity Condition if the spot rate for USD/EUR is 1.05 the 6-month USD interest rate is 3% and the 6-month EUR interest rate is 2% what is the 6-month forward rate?,1.0447 USD/EUR,1.0553 USD/EUR,1.0605 USD/EUR,1.0395 USD/EUR,1.0447 USD/EUR,Foreign Exchange
An ETF uses stratified sampling to track the FTSE 100 index. If the fund holds 65 stocks that represent 85% of the index's market capitalization what is the tracking error likely to be compared to a fund using full replication?,Lower,Higher,The same,Impossible to determine without performance data,Higher,Investment Funds
A money market fund with £100 million in assets charges a management fee of 0.25% per annum. If the gross yield on the fund's investments is 3.75% what is the net yield to investors?,3.50%,3.25%,3.00%,3.55%,3.50%,Cash Deposits
An investor buys 1000 shares of an ETF at £25 per share. The ETF tracks an index that currently stands at 5000 points. If the index rises to 5250 points and assuming perfect tracking what would be the expected value of the investment?,£26250,£25500,£25250,£26500,£26250,Investment Funds
A £50000 Certificate of Deposit was issued 90 days ago for a 180-day term at an annualized rate of 3.6%. If it is sold today in the secondary market at a rate of 4.2% what is the market price?,£49855.80,£49925.05,£49705.88,£50075.25,£49855.80,Cash Deposits
If a £75000 Treasury bill has 120 days until maturity and the required yield is 3.75% what is its current market price using the discount basis formula?,£72031.25,£73078.13,£74062.50,£71875.00,£73078.13,Cash Deposits
A UK-based investor is considering a USD money market investment. If the UK interest rate is 4.5% the US interest rate is 5.25% and the GBP/USD spot rate is 1.25 what would the 6-month forward rate need to be to prevent arbitrage according to Interest Rate Parity?,1.2375,1.2438,1.2563,1.2468,1.2438,Foreign Exchange
A futures contract has an initial margin requirement of £8000 and a maintenance margin of £6500. After three days of trading the margin account balance is £6200. How much additional margin must be deposited to continue holding the position?,£1800,£300,£1500,£1000,£1800,Derivatives
Using the formula for calculating the return of securities quoted at par a 90-day Certificate of Deposit with face value £100000 was issued at 3.8%. If there are 60 days remaining and the current market price is £99600 what is the annualized return for a buyer at this price?,3.8%,4.25%,4.53%,4.05%,4.53%,Cash Deposits
A credit default swap provides protection on a £10 million corporate bond. If the annual premium is 250 basis points (2.5%) paid quarterly how much is each quarterly payment?,£62500,£25000,£250000,£50000,£62500,Derivatives
An investment trust with net asset value (NAV) of £8.50 per share is trading at £7.65. What is the discount to NAV expressed as a percentage?,10%,12%,10.29%,9.76%,10%,Investment Funds
A trader takes a short position in a currency futures contract worth 100000 EUR at 1.15 USD/EUR. If the EUR depreciates to 1.12 USD/EUR at contract expiration what is the profit in USD?,£3000,£3300,£2800,£3500,£3000,Derivatives
This question uses the concept of duration (not listed in your notes but commonly tested). If a money market portfolio has a modified duration of 0.25 years and interest rates increase by 1% what would be the approximate percentage change in the portfolio's value?,+0.25%,-0.25%,+1%,-1%,-0.25%,Cash Deposits
If the spot rate for JPY/USD is 110 and the 3-month forward rate is 108 is the JPY trading at a forward premium or discount relative to USD?,Premium,Discount,Neither,Cannot be determined without interest rates,Premium,Foreign Exchange
An actively managed fund charges a 1.25% annual management fee plus a 20% performance fee on returns above its benchmark. If the fund returns 12% while its benchmark returns 9% and the initial investment was £50000 what is the total fee paid for the year?,£925,£625,£1025,£825,£925,Investment Funds
This question uses the Sharpe ratio (risk-adjusted return measure). A passive ETF has an annual return of 7% a standard deviation of 12% and the risk-free rate is 2.5%. What is its Sharpe ratio?,0.375,0.583,0.458,0.333,0.375,Investment Funds
A company enters into a currency swap to exchange £5 million for $6.5 million with semi-annual payments over 3 years. The GBP interest rate is 4% and the USD rate is 5%. What is the GBP payment at each semi-annual exchange?,£100000,£125000,£162500,£200000,£100000,Derivatives
A £100000 commercial paper is issued at a discount rate of 4.5% for 60 days. What is the purchase price?,£97500,£98750,£99250,£97750,£99250,Cash Deposits
An investor holds a forward contract to buy 10000 USD at 1.30 EUR/USD in three months. If the spot rate at expiration is 1.25 EUR/USD what is the gain or loss in EUR?,€500 gain,€500 loss,€5000 loss,€5000 gain,€500 loss,Foreign Exchange
This question uses the information ratio (not listed in your notes but important for investment fund evaluation). If an actively managed fund outperforms its benchmark by 2.5% with a tracking error of 5% what is its information ratio?,0.5,0.4,0.6,0.25,0.5,Investment Funds
A fund manager uses optimization to create an ETF that tracks the S&P 500. If the ETF holds 300 of the 500 stocks and has a beta of 0.98 relative to the index what is the expected tracking error per year? (Tracking error is a statistical measure of how closely a portfolio follows its benchmark),1%-2%,Less than 0.5%,0.5%-1%,More than 2%,0.5%-1%,Investment Funds
A money market fund with £200 million in assets has an average maturity of 45 days and weighted average yield of 3.25%. If interest rates increase by 0.5% across all maturities what would be the approximate change in the fund's value? (This uses the concept of duration where duration ≈ maturity/365 for money market instruments),-0.06%,-0.25%,-0.1%,-0.5%,-0.06%,Cash Deposits
This question uses the covered interest parity condition. If the GBP/USD spot rate is 1.35 the 12-month forward rate is 1.32 the USD interest rate is 3% what must the GBP interest rate be to prevent arbitrage?,5.27%,4.09%,3.52%,6.12%,5.27%,Foreign Exchange
An investment trust uses gearing (leverage) of 15% on its £500 million portfolio. If the underlying investments generate a return of 8% what is the return to shareholders? (Return calculation with gearing: Return to shareholders = Return on investments × (1 + gearing ratio)),9.2%,12%,10.4%,8.8%,9.2%,Investment Funds
A trader buys a straddle (both call and put options) on a stock with a strike price of £40. Each option costs £2 per share for 100 shares. What is the break-even price range for the stock at expiration for the trader to make a profit?,Below £36 or above £44,Below £38 or above £42,Below £42 or above £38,Below £34 or above £46,Below £36 or above £44,Derivatives
An investor buys a put option on 100 shares of a stock with a strike price of £55. The premium paid is £3.50 per share and the stock is currently trading at £58. If the stock price falls to £48 at expiration what is the investor's net profit or loss?,£350 profit,£350 loss,£700 profit,£500 loss,£350 profit,Derivatives
