This question uses the concept of duration (not listed in your notes but commonly tested). If a money market portfolio has a modified duration of 0.25 years and interest rates increase by 1% what would be the approximate percentage change in the portfolio's value?,+0.25%,-0.25%,+1%,-1%,-0.25%,Cash Deposits
If the spot rate for JPY/USD is 110 and the 3-month forward rate is 108 is the JPY trading at a forward premium or discount relative to USD?,Premium,Discount,Neither,Cannot be determined without interest rates,Premium,Foreign Exchange
An actively managed fund charges a 1.25% annual management fee plus a 20% performance fee on returns above its benchmark. If the fund returns 12% while its benchmark returns 9% and the initial investment was £50000 what is the total fee paid for the year?,£925,£625,£1025,£825,£925,Investment Funds
This question uses the Sharpe ratio (risk-adjusted return measure). A passive ETF has an annual return of 7% a standard deviation of 12% and the risk-free rate is 2.5%. What is its Sharpe ratio?,0.375,0.583,0.458,0.333,0.375,Investment Funds
A company enters into a currency swap to exchange £5 million for $6.5 million with semi-annual payments over 3 years. The GBP interest rate is 4% and the USD rate is 5%. What is the GBP payment at each semi-annual exchange?,£100000,£125000,£162500,£200000,£100000,Derivatives
A £100000 commercial paper is issued at a discount rate of 4.5% for 60 days. What is the purchase price?,£97500,£98750,£99250,£97750,£99250,Cash Deposits
An investor holds a forward contract to buy 10000 USD at 1.30 EUR/USD in three months. If the spot rate at expiration is 1.25 EUR/USD what is the gain or loss in EUR?,€500 gain,€500 loss,€5000 loss,€5000 gain,€500 loss,Foreign Exchange
This question uses the information ratio (not listed in your notes but important for investment fund evaluation). If an actively managed fund outperforms its benchmark by 2.5% with a tracking error of 5% what is its information ratio?,0.5,0.4,0.6,0.25,0.5,Investment Funds
A fund manager uses optimization to create an ETF that tracks the S&P 500. If the ETF holds 300 of the 500 stocks and has a beta of 0.98 relative to the index what is the expected tracking error per year? (Tracking error is a statistical measure of how closely a portfolio follows its benchmark),1%-2%,Less than 0.5%,0.5%-1%,More than 2%,0.5%-1%,Investment Funds
A money market fund with £200 million in assets has an average maturity of 45 days and weighted average yield of 3.25%. If interest rates increase by 0.5% across all maturities what would be the approximate change in the fund's value? (This uses the concept of duration where duration ≈ maturity/365 for money market instruments),-0.06%,-0.25%,-0.1%,-0.5%,-0.06%,Cash Deposits
This question uses the covered interest parity condition. If the GBP/USD spot rate is 1.35 the 12-month forward rate is 1.32 the USD interest rate is 3% what must the GBP interest rate be to prevent arbitrage?,5.27%,5.34%,3.52%,6.12%,5.34%,Foreign Exchange
An investment trust uses gearing (leverage) of 15% on its £500 million portfolio. If the underlying investments generate a return of 8% what is the return to shareholders? (Return calculation with gearing: Return to shareholders = Return on investments × (1 + gearing ratio)),9.2%,12%,10.4%,8.8%,9.2%,Investment Funds
A trader buys a straddle (both call and put options) on a stock with a strike price of £40. Each option costs £2 per share for 100 shares. What is the break-even price range for the stock at expiration for the trader to make a profit?,Below £36 or above £44,Below £38 or above £42,Below £42 or above £38,Below £34 or above £46,Below £36 or above £44,Derivatives
An investor buys a put option on 100 shares of a stock with a strike price of £55. The premium paid is £3.50 per share and the stock is currently trading at £58. If the stock price falls to £48 at expiration what is the investor's net profit or loss?,£350 profit,£350 loss,£700 profit,£500 loss,£350 profit,Derivatives
A trader buys a forward contract to purchase 10000 USD in 3 months. If the spot rate is 1.25 USD/GBP the 3-month USD interest rate is 4% and the 3-month GBP interest rate is 5% what is the forward rate according to Interest Parity Condition?,1.2469 USD/GBP,1.2531 USD/GBP,1.2625 USD/GBP,1.2375 USD/GBP,1.2531 USD/GBP,Foreign Exchange
Using the Interest Parity Condition if the spot rate for USD/EUR is 1.05 the 6-month USD interest rate is 3% and the 6-month EUR interest rate is 2% what is the 6-month forward rate?,1.0447 USD/EUR,1.0552 USD/EUR,1.0605 USD/EUR,1.0395 USD/EUR,1.0605 USD/EUR,Foreign Exchange
A UK-based investor is considering a USD money market investment. If the UK interest rate is 4.5% the US interest rate is 5.25% and the GBP/USD spot rate is 1.25 what would the 6-month forward rate need to be to prevent arbitrage according to Interest Rate Parity?,1.2375,1.2426,1.2546,1.2468,1.2426,Foreign Exchange
A 180-day Certificate of Deposit with a face value of £150000 was issued at an annualized rate of 4.2%. If there are 75 days remaining until maturity and the current market interest rate for similar instruments is 3.8%, what is the market price of this CD using the quoted at par formula?,£151237.82,£150842.53,£151458.65,£151064.26,£151064.26,Cash Deposits
A UK bank has issued a Certificate of Deposit with a face value of £80000 for 120 days at an annualized interest rate of 3.5%. If after 45 days the prevailing interest rate for similar CDs falls to 3.2%, what would be the market price of this CD in the secondary market?,£80294.35,£80521.64,£80678.92,£80112.06,£80521.64,Cash Deposits
A 91-day Certificate of Deposit with a face value of £120000 was issued at an annualized rate of 4.5%. If 30 days have passed and current interest rates for similar CDs are now 4.8%, calculate the current market price of this CD using the quoted at par formula.,£120155.34,£120079.78,£119876.22,£120314.69,£119876.22,Cash Deposits
A UK company needs to pay a US supplier $250000. If the bank quotes GBP/USD exchange rates as 1.3420-1.3460 (bid-ask), how much will this payment cost in GBP?,£185734.77,£186288.38,£188522.17,£184992.57,£185734.77,Foreign Exchange
A French investor received a dividend of £75000 from UK investments and needs to convert this to euros. If the bank quotes EUR/GBP rates of 1.1650-1.1690, how many euros will the investor receive?,€87375.00,€87675.00,€88425.00,€86272.50,€87375.00,Foreign Exchange
A Japanese corporate client needs to convert JPY 50 million to AUD for a business acquisition. If the bank quotes JPY/AUD at 82.45-82.65, how much AUD will the client receive?,AUD 604960,AUD 606427,AUD 600484,AUD 605232,AUD 604960,Foreign Exchange
The current spot rate for USD/CAD is 1.3250 and the 3-month forward rate is 1.3320. Calculate the forward premium/discount as an annualized percentage.,2.11% premium,2.11% discount,1.69% premium,1.69% discount,2.11% premium,Foreign Exchange
The spot rate for GBP/JPY is currently 162.50 and the 6-month forward rate is 158.75. What is the annualized forward discount on the GBP?,2.31%,4.62%,5.32%,9.23%,4.62%,Foreign Exchange
The USD/EUR spot rate is 0.9250 and the 3-month forward rate is 0.9300. Is the EUR trading at a forward premium or discount to the USD, and at what annualized percentage?,2.16% premium,2.16% discount,5.41% premium,5.41% discount,2.16% premium,Foreign Exchange
A company enters into a 5-year currency swap with a bank to exchange £10 million for €11.5 million. The GBP interest rate is 3.5% and the EUR interest rate is 2.8%. What is the amount in euros that the company will pay at each annual exchange?,€322000,€115000,€280000,€350000,€322000,Derivatives
In a 3-year currency swap, a US company exchanges $5 million for €4.2 million with a European counterparty. The USD interest rate is 3.2% and the EUR interest rate is 2.5%. At the first semi-annual payment, what amount in dollars will the US company receive from its counterparty?,€52500,$80000,€105000,$160000,$80000,Derivatives
A Japanese corporation enters into a 4-year currency swap with a UK bank, exchanging ¥600 million for £3.5 million. The JPY interest rate is 0.5% and the GBP interest rate is 4%. What is the annual GBP interest payment the Japanese corporation must make to the UK bank, and what annual JPY interest payment will it receive?,£140000 paid\\, ¥3000000 received,£175000 paid\\, ¥3000000 received,£140000 paid\\, ¥600000 received,£70000 paid\\, ¥3000000 received,£140000 paid\\, ¥3000000 received,Derivatives
